Committee_Id,Committee_Name,Link_Image,Committee_Election_State,Committee_Election_District,Report_Type,Receipt_Date,Coverage_Start_Date,Coverage_End_Date,Quarterly_Contribution,Semi_Annual_Contribution
"C00413914","GILLIBRAND FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583094181+0","NY","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","56700","106055"
"C00431353","KLOBUCHAR FOR MINNESOTA","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583226155+0","MN","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","35950","35950"
"C00662577","KATHY MANNING FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307149582594347+0","NC","06","JULY QUARTERLY / SEMI-ANNUAL","14-JUL-23","01-APR-23","30-JUN-23","166215","209765"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_202307149582589385+0","OH","","JULY QUARTERLY / SEMI-ANNUAL","14-JUL-23","01-APR-23","30-JUN-23","254936","330896"
"C00795211","DON DAVIS FOR NC","http://docquery.fec.gov/cgi-bin/fecimg/?_202307149582651271+0","NC","01","QUARTERLY SEMI-ANNUAL (MY)","14-JUL-23","01-APR-23","30-JUN-23","0","0"
"C00541888","KATHERINE CLARK FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307149582651223+0","MA","05","JULY QUARTERLY / SEMI-ANNUAL","14-JUL-23","01-APR-23","30-JUN-23","49950","49950"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202307149582639851+0","CO","","QUARTERLY SEMI-ANNUAL (MY)","14-JUL-23","01-APR-23","30-JUN-23","0","0"
"C00639146","JOSH HARDER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307149582613011+0","CA","09","QUARTERLY SEMI-ANNUAL (MY)","14-JUL-23","01-APR-23","30-JUN-23","0","0"
"C00821462","DRUM MAJOR PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_202307119582485316+0","","","APRIL QUARTERLY","11-JUL-23","01-JAN-23","31-MAR-23","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202305179581532695+0","","","MAY MONTHLY","17-MAY-23","01-APR-23","30-APR-23","30000","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202304209581142010+0","","","APRIL MONTHLY","20-APR-23","01-MAR-23","31-MAR-23","35000","0"
"C00264564","MENENDEZ FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202304159580863879+0","NJ","","APRIL QUARTERLY","15-APR-23","01-JAN-23","31-MAR-23","424125","0"
"C00653196","DAVID TRONE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202304159580655267+0","MD","06","APRIL QUARTERLY","15-APR-23","01-JAN-23","31-MAR-23","31950","0"
"C00413914","GILLIBRAND FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202304159580629165+0","NY","00","APRIL QUARTERLY","15-APR-23","01-JAN-23","31-MAR-23","49355","0"
"C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202304159580598908+0","RI","00","APRIL QUARTERLY","15-APR-23","01-JAN-23","31-MAR-23","23180","0"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_202304159581010446+0","NV","00","APRIL QUARTERLY","15-APR-23","01-JAN-23","31-MAR-23","259231","0"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580546130+0","WI","","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","23486","0"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580479326+0","OH","","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","75960","0"
"C00711150","MONDAIRE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580448411+0","NY","17","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","0","0"
"C00639146","JOSH HARDER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580442211+0","CA","09","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","0","0"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580439211+0","CO","","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","0","0"
"C00662577","KATHY MANNING FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580415833+0","NC","06","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","43550","0"
"C00795211","DON DAVIS FOR NC","http://docquery.fec.gov/cgi-bin/fecimg/?_202304149580417800+0","NC","01","APRIL QUARTERLY","14-APR-23","01-JAN-23","31-MAR-23","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202303179579315861+0","","","MARCH MONTHLY","17-MAR-23","01-FEB-23","28-FEB-23","42000","0"
"C00369801","DAVID SCOTT FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202303089578977860+0","GA","13","QUARTERLY YEAR END / SEMI-ANN","08-MAR-23","01-JUL-22","31-DEC-22","41000","41000"
"C00765800","FETTERMAN FOR PA","http://docquery.fec.gov/cgi-bin/fecimg/?_202302279578737727+0","PA","","POST-GENERAL","27-FEB-23","20-OCT-22","28-NOV-22","26070.13","0"
"C00765800","FETTERMAN FOR PA","http://docquery.fec.gov/cgi-bin/fecimg/?_202302279578737729+0","PA","","QUARTERLY SEMI-ANNUAL (YE)","27-FEB-23","29-NOV-22","31-DEC-22","0","196876.49"
"C00255562","FRIENDS OF JIM CLYBURN","http://docquery.fec.gov/cgi-bin/fecimg/?_202302259578733251+0","","","QUARTERLY YEAR END / SEMI-ANN","25-FEB-23","01-JUL-22","31-DEC-22","28000","28000"
"C00656686","TOM MALINOWSKI FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202302219578712324+0","NJ","07","QUARTERLY YEAR END / SEMI-ANN","21-FEB-23","01-JUL-22","31-DEC-22","29146.4","29146.4"
"C00660464","CHRIS PAPPAS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202302019578111793+0","NH","01","OCTOBER QUARTERLY","01-FEB-23","01-JUL-22","30-SEP-22","45596.87","0"
"C00660464","CHRIS PAPPAS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202302019578111690+0","NH","01","JULY QUARTERLY / SEMI-ANNUAL","01-FEB-23","01-APR-22","30-JUN-22","31500","31500"
"C00736876","WARNOCK FOR GEORGIA","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319576510433+0","GA","","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","27-DEC-22","31-DEC-22","0","294263.84"
"C00653816","COMMITTEE TO ELECT JARED GOLDEN","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575746316+0","ME","02","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","23835"
"C00660464","CHRIS PAPPAS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319576517686+0","NH","01","QUARTERLY YEAR END / SEMI-ANN","31-JAN-23","01-JUL-22","31-DEC-22","71221.87","71221.87"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575279176+0","","","QUARTERLY YEAR END / SEMI-ANN","31-JAN-23","29-NOV-22","31-DEC-22","22100","892711.46"
"C00795211","DON DAVIS FOR NC","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575289623+0","NC","01","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","47615"
"C00639146","JOSH HARDER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575334106+0","CA","09","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","36107.6"
"C00638650","HALEY STEVENS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575349176+0","MI","11","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","01-OCT-22","31-DEC-22","0","59292"
"C00588772","MAGGIE FOR NH","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575359007+0","NH","","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","01-OCT-22","31-DEC-22","0","145983.76"
"C00696526","MARK KELLY FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575440116+0","AZ","","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","80953.26"
"C00574889","TAMMY FOR ILLINOIS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575449841+0","IL","00","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","91510"
"C00777904","CHERI BEASLEY FOR NORTH CAROLINA","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575485511+0","NC","","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","135392.1"
"C00784959","MANDELA BARNES FOR WISCONSIN","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575506319+0","WI","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-23","01-JUL-22","31-DEC-22","216330.23","216330.23"
"C00822049","MANDELA BARNES VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575590606+0","","","QUARTERLY YEAR END / SEMI-ANN","31-JAN-23","01-JUL-22","31-DEC-22","47300","47300"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575611484+0","CO","","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","75350.57"
"C00793703","ANDREA SALINAS FOR OREGON","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575663840+0","OR","06","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","46686.15"
"C00797217","MICHELLE VALLEJO FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575663944+0","TX","15","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","25155.91"
"C00711317","SCHOLTEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575670234+0","MI","03","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","76345.17"
"C00711150","MONDAIRE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319575674418+0","NY","17","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","0"
"C00575548","CATHERINE CORTEZ MASTO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202301319576512435+0","NV","","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-23","29-NOV-22","31-DEC-22","0","154716.45"
"C00787648","CHRIS DELUZIO FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301309575156931+0","PA","17","QUARTERLY SEMI-ANNUAL (YE)","30-JAN-23","29-NOV-22","31-DEC-22","0","34744.65"
"C00649913","SPANBERGER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301309575176285+0","VA","07","QUARTERLY SEMI-ANNUAL (YE)","30-JAN-23","29-NOV-22","31-DEC-22","0","51964.33"
"C00662577","KATHY MANNING FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301309575178889+0","NC","06","QUARTERLY SEMI-ANNUAL (YE)","30-JAN-23","29-NOV-22","31-DEC-22","0","139617.05"
"C00792465","JAMIE FOR OREGON","http://docquery.fec.gov/cgi-bin/fecimg/?_202301309575183034+0","OR","05","QUARTERLY SEMI-ANNUAL (YE)","30-JAN-23","29-NOV-22","31-DEC-22","0","53382.29"
"C00792507","WILL ROLLINS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202301309575154308+0","CA","41","QUARTERLY SEMI-ANNUAL (YE)","30-JAN-23","29-NOV-22","31-DEC-22","0","33629.2"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202301279575065606+0","WI","","QUARTERLY SEMI-ANNUAL (YE)","27-JAN-23","01-JUL-22","31-DEC-22","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202301259574951928+0","","","MONTHLY SEMI-ANNUAL (YE)","25-JAN-23","29-NOV-22","31-DEC-22","0","201050"
"C00736876","WARNOCK FOR GEORGIA","http://docquery.fec.gov/cgi-bin/fecimg/?_202301059574326933+0","GA","","POST-RUN-OFF","05-JAN-23","17-NOV-22","26-DEC-22","107827","0"
"C00575548","CATHERINE CORTEZ MASTO FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089557373293+0","NV","","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","22096.85","0"
"C00662577","KATHY MANNING FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089547698510+0","NC","06","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00672634","HERBERT LEE MD FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089550323324+0","CA","","PRE-GENERAL","08-DEC-22","01-OCT-22","19-OCT-22","0","0"
"C00639146","JOSH HARDER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089550308570+0","CA","09","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00777904","CHERI BEASLEY FOR NORTH CAROLINA","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089550191816+0","NC","","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","20231.16","0"
"C00784959","MANDELA BARNES FOR WISCONSIN","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089557179256+0","WI","","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","24950.13","0"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089547626221+0","CO","","PRE-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089547683047+0","CO","","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00672634","HERBERT LEE MD FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089550347647+0","CA","","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00792465","JAMIE FOR OREGON","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089547728655+0","OR","05","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089547845693+0","","","POST-GENERAL","08-DEC-22","01-OCT-22","28-NOV-22","218300","0"
"C00574889","TAMMY FOR ILLINOIS","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089550114881+0","IL","00","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","35535","0"
"C00795211","DON DAVIS FOR NC","http://docquery.fec.gov/cgi-bin/fecimg/?_202212089550125401+0","NC","01","POST-GENERAL","08-DEC-22","20-OCT-22","28-NOV-22","0","0"
"C00564237","INNOVATION NATION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_202212079547267266+0","","","POST-GENERAL","07-DEC-22","01-SEP-22","08-DEC-22","0","0"
"C00750000","MARTIN LEMELLE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202212019547079365+0","","","OCTOBER QUARTERLY","01-DEC-22","14-JUN-20","30-SEP-20","0","0"
"C00736876","WARNOCK FOR GEORGIA","http://docquery.fec.gov/cgi-bin/fecimg/?_202211249546889880+0","GA","","PRE-RUN-OFF","24-NOV-22","20-OCT-22","16-NOV-22","58915.13","0"
"C00777540","DOUG BELL FOR US CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202210289546614193+0","AL","","PRE-GENERAL","28-OCT-22","01-OCT-22","19-OCT-22","0","0"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279546356395+0","CO","","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","40580","0"
"C00777904","CHERI BEASLEY FOR NORTH CAROLINA","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279543306075+0","NC","00","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","22671.66","0"
"C00662577","KATHY MANNING FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279543191713+0","NC","06","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","22000","0"
"C00639146","JOSH HARDER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279543179478+0","CA","09","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","0","0"
"C00784959","MANDELA BARNES FOR WISCONSIN","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279543173087+0","WI","00","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","22451.66","0"
"C00792465","JAMIE FOR OREGON","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279542096184+0","OR","05","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","0","0"
"C00795211","DON DAVIS FOR NC","http://docquery.fec.gov/cgi-bin/fecimg/?_202210279541920703+0","NC","01","PRE-GENERAL","27-OCT-22","01-OCT-22","19-OCT-22","0","0"
"C00653816","COMMITTEE TO ELECT JARED GOLDEN","http://docquery.fec.gov/cgi-bin/fecimg/?_202210159536899757+0","ME","02","OCTOBER QUARTERLY","15-OCT-22","01-JUL-22","30-SEP-22","20660","0"
"C00736876","WARNOCK FOR GEORGIA","http://docquery.fec.gov/cgi-bin/fecimg/?_202210159536749236+0","GA","","OCTOBER QUARTERLY","15-OCT-22","01-JUL-22","30-SEP-22","64728.54","0"
"C00822049","MANDELA BARNES VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_202210159536706907+0","","","OCTOBER QUARTERLY","15-OCT-22","01-JUL-22","30-SEP-22","47300","0"
