Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Gun Sense Candidate?,Biden Endorsed?,Warren Endorsed?,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners,Total Endorsements,Endorsed,receipts,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Female,SinglePayer
Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,0,None,None,-13.51,9.3400002,0,1,0,0,0,0,No,0.0,,0.0,,,,,,,,,,,4,0.0,0,34466.05,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,0,None,None,-13.51,12.55,0,0,0,0,0,0,No,0.0,,0.0,,,,,,,,,,,4,0.0,0,270092.89,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,1,None,On the Ballot,-21.379999,43.650002,1,0,0,0,0,0,No,,,,,,,1.0,1.0,,0.0,,,,4,2.0,1,1097584.95,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,0,None,None,-21.379999,7.3000002,0,0,0,0,0,0,No,,,,,,,0.0,0.0,,0.0,,,,4,0.0,0,17275.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,0,None,None,-21.379999,28.540001,0,0,0,0,0,0,No,,,,,,,0.0,0.0,,0.0,,,,4,0.0,0,290020.57,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Establishment Democrat,1.0,1
Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,0,None,None,-21.379999,20.51,0,0,0,0,0,0,No,,,,,,,0.0,0.0,,1.0,,,,4,1.0,1,68655.53,0,Master's Degree (includes MBA),Single,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,0,None,None,0.62,1.89,0,0,0,0,0,1,No,0.0,0.0,0.0,,,,1.0,1.0,,0.0,,,,6,2.0,1,68767.16,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,0
Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,1,None,On the Ballot,0.62,35.57,1,0,0,0,0,1,No,1.0,0.0,1.0,,,,0.0,0.0,,0.0,,,,6,2.0,1,8441529.09,0,Master's Degree (includes MBA),Engaged,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,0,None,None,0.62,21.34,0,0,0,0,0,0,No,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,,6,0.0,0,346820.52,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,0,None,None,0.62,4.98,0,0,0,0,0,1,No,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,,6,0.0,0,48734.3,0,J.D.,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,0,None,None,0.62,17.049999,0,0,0,1,0,1,No,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,,6,0.0,0,840266.61,0,Bachelor's or some college,Married,1,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,0,None,None,0.62,19.17,0,1,0,1,0,0,No,0.0,1.0,1.0,,,,0.0,0.0,,1.0,,,,6,3.0,1,355454.26,0,Bachelor's or some college,No information,1,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,1,None,On the Ballot,-13.41,78.830002,1,1,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,9233869.01,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,0,None,None,-13.41,12.26,0,1,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,394178.67,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,0,None,None,-13.41,8.9099998,0,1,0,0,0,1,No,,,,,,,,,,,,,,3,0.0,0,51123.99,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,0,None,None,-25.379999,4.8400002,0,1,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,12040.87,0,Bachelor's or some college,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,0,None,None,-25.379999,18.200001,0,1,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,12509.54,0,Master's Degree (includes MBA),No information,0,Candidate provides no information,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,1,None,On the Ballot,-25.379999,42.720001,1,1,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,116057.86,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,0,None,None,-25.379999,34.25,0,0,0,0,0,0,No,,,,,,,,,,,,,,4,0.0,0,27394.25,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,1.0,1
Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,0,None,None,2.02,38.259998,0,0,0,0,0,0,No,0.0,0.0,1.0,,,,0.0,1.0,,,,,,4,2.0,1,1217418.32,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate supports status quo efforts to combat terrorism,Candidate provides no information,Progressive Democrat,0.0,1
Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,0,None,None,2.02,13.24,0,0,0,0,0,1,No,0.0,0.0,1.0,,,,1.0,0.0,,,,,,4,2.0,1,495219.91,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Katie Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,1,None,On the Ballot,2.02,42.970001,1,0,1,0,0,0,No,1.0,1.0,1.0,,,,0.0,0.0,,,,,,4,3.0,1,8569626.33,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,0,None,None,2.02,5.54,0,0,0,0,0,0,No,0.0,0.0,,,,,0.0,0.0,,,,,,4,0.0,0,8295.09,0,Master's Degree (includes MBA),No information,1,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,0,None,None,2.99,20.440001,0,0,0,0,1,0,No,0.0,0.0,1.0,,,,1.0,,,0.0,,0.0,,6,2.0,1,3161418.81,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate supports increasing the national debt or the federal deficit,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
