brooking538merged (1)
,Unnamed: 0,Candidate.First.Name,Candidate.Last.Name,Candidate.State,Candidate.District,Candidate.Party,Incumbent,Freshman.Member,Candidate.Website.URL,Candidate.Gender,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Party.Category.1,Incumbency,Female,Democrat,Republican,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,Primary.Outcome,Primary.Runoff.Outcome,Candidate,District,total_runners,Unnamed: 0,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
10,17,GWEN,COMBS,AR,2,Democrat,,,https://www.combsforarkansas.com/,Female,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,0,,gwen combs,AR-2,4,12,gwen combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,20.299999,No,0,1,0,0,0,0,0,No,,Yes,,,,,,,,,,,2,AR-2,4
11,18,CLARKE,TUCKER,AR,2,Democrat,,,http://www.clarketucker.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,1,,clarke tucker,AR-2,4,11,clarke tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,1,-13.51,57.82,Yes,0,0,0,1,0,0,0,Yes,,Yes,,,,,,,,,,,2,AR-2,4
12,49,JESSICA,HOLCOMBE,CA,1,Democrat,,,www.holcombeforcongress.com,Female,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Establishment Democrat,,0,1,1,0,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",0,,jessica holcombe,CA-1,4,19,jessica holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,28.540001,No,0,0,0,0,0,0,0,,,,,,,No,No,,No,,,,1,CA-1,4
13,50,MARTY,WALTERS,CA,1,Democrat,,,www.martywalters.com,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Single,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1,1,0,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",0,,marty walters,CA-1,4,20,marty walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,20.51,No,0,0,0,0,0,0,0,,,,,,,No,No,,Yes,,,,1,CA-1,4
14,51,DAVID,PETERSON,CA,1,Democrat,,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,0,0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,0,,david peterson,CA-1,4,18,david peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,7.3000002,No,0,0,0,0,0,0,0,,,,,,,No,No,,No,,,,1,CA-1,4
15,52,AUDREY,DENNEY,CA,1,Democrat,,,http://www.audreyforcongress.com,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",1,,audrey denney,CA-1,4,17,audrey denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,1,-21.379999,43.650002,Yes,0,0,0,0,0,0,0,,,,,,,Yes,Yes,,No,,,,1,CA-1,4
16,55,REGINA,BATESON,CA,4,Democrat,,,https://www.bateson4congress.com/,Female,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides complicated/complex/unclear position,Candidate notes Russia as political enemy of the United States,Establishment Democrat,,0,1,1,0,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,,0,,regina bateson,CA-4,4,46,regina bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,30.07,No,0,0,0,0,0,0,0,,,Yes,,,,No,No,,No,,,,4,CA-4,4
17,56,ROBERT,LAWTON,CA,4,Democrat,,,www.lawton4congress.com,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,,0,0,1,0,NEGATIVE MENTION,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",0,,robert lawton,CA-4,4,47,robert lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,5.25,No,0,0,0,0,0,0,0,,,No,,,,No,No,,No,,,,4,CA-4,4
18,57,ROZA,CALDERON,CA,4,Democrat,,,www.electroza.org,Female,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Single,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,1,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",0,,roza calderon,CA-4,4,48,roza calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,15.57,No,1,0,0,0,0,1,0,,,Yes,,,,Yes,Yes,,No,,,,4,CA-4,4
19,58,JESSICA,MORSE,CA,4,Democrat,,,www.morse4congress.com,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate explicitly supports ACA,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports status quo efforts to combat terrorism,Candidate provides complicated/complex/unclear position,Progressive Democrat,,0,1,1,0,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,,1,,jessica morse,CA-4,4,45,jessica morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,1,-18.16,49.099998,Yes,0,0,0,0,0,0,0,,,Yes,,,,No,No,,Yes,,,,4,CA-4,4
20,60,MARJORIE,DOYLE,CA,8,Democrat,,,www.margedoyleforcongress.com,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports status quo efforts to combat terrorism,Candidate provides no information,Progressive Democrat,,0,1,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",0,,marjorie doyle,CA-8,3,70,marge doyle,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,0,-17.33,59.610001,,0,0,1,0,0,1,0,,,,,,,,,,,,,,8,CA-8,3
21,61,RONALD,ODONNELL,CA,8,Democrat,,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,0,0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,0,,ronald odonnell,CA-8,3,72,ronald o'donnell,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,0,-17.33,12.71,,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,CA-8,3
22,62,RITA,RAMIREZ,CA,8,Democrat,,,www.drrita4congress.com,Female,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,Candidate mentions previous elected office experience,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,0,,rita ramirez,CA-8,3,71,rita ramirez,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,0,-17.33,27.67,,1,0,0,0,0,0,0,,,,,,,,,,,,,,8,CA-8,3
23,63,MICHAEL,BARKLEY,CA,10,Democrat,,,www.mjbarkl.com/run.htm,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,0,1,0,NO MENTION,POSITIVE MENTION,POSITIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",0,,michael barkley,CA-10,6,24,mike barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,4.98,No,0,1,0,0,0,1,0,No,No,No,,,,No,No,,No,,,,10,CA-10,6
