"","Candidate.First.Name","Candidate.Last.Name","Candidate.State","Candidate.District","Candidate.Party","Incumbent","Freshman.Member","Candidate.Website.URL","Candidate.Gender","Listed.military.service.","Education","Marital.Status","Previous.Electoral.Experience","Position.on.Affordable.Care.Act..ObamaCare.","Position.on.Minimum.Wage","Position.on.Federal.Taxes","Position.on.Business.Regulations","Position.on.National.Debt.Deficit","Position.on.Social.Security","Position.on.Gun.Control","Position.on.Immigration","Position.on.Abortion","Position.on.Same.Sex.Marriage","Position.on.Criminal.Justice.Reform","Position.on.Federal.K.12.Education.Policy","Position.on.Climate.Change","Position.on.Campaign.Finance.Reform","Position.on.Legalization.Decriminalization.of.Marijuana.Policy","Position.on.Defense.Spending","Position.on.Handling.Terrorism.Abroad","Position.on.Russia","Party.Category","Party.Category.1","Incumbency","Female","Democrat","Republican","Trump.Mention","Obama.Mention","Sanders.Mention","Clinton.Mention","Special.Counsel.Mention","Travel.Ban.Mention","SinglePayer","Primary.Outcome","Primary.Runoff.Outcome"
"11","AUDRI","WILLIAMS","AL",2,"Democrat","","","https://www.audriscottwilliams.com/","Female","Yes, the candidate serves or served in the military","No Education Information Listed","Other","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"12","TABITHA","ISNER","AL",2,"Democrat","","","http://tabithaisner.com/","Female","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.)","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
"13","BARRY","MOORE","AL",2,"Republican","","","https://www.barrymooreforcongress.com/","Male","Yes, the candidate serves or served in the military","Bachelor's Degree","Married","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"14","TOMMY","AMASON","AL",2,"Republican","","","https://www.tommyamason.com/","Male","Yes, the candidate serves or served in the military","High School","Married","","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"15","RICH","HOBSON","AL",2,"Republican","","","http://www.richhobson.org/","Male","Yes, the candidate serves or served in the military","Ph.D.","Married","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate supports the ""traditional family""","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"16","MARTHA","ROBY","AL",2,"Republican","Candidate is an incumbent Member of Congress","","http://martharoby.com/","Female","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate supports the ""traditional family""","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Tea Party Republican",1,1,0,1,"COMPLICATED","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Runoff","Winner"
"17","BOBBY","BRIGHT","AL",2,"Republican","","","https://bright.vote/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides no information","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Runoff","Loser"
"18","ADIA","WINFREY","AL",3,"Democrat","","","https://www.drdiaforcongress.com/","Female","No, the candidate does not include any information about serving in the military","Psy.D.","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"19","MALLORY","HAGAN","AL",3,"Democrat","","","https://www.haganforhouse.com/","Female","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate provides no information","Candidate provides no information","Candidate supports marriage equality measures","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"20","MIKE","ROGERS","AL",3,"Republican","Candidate is an incumbent Member of Congress","","https://mikerogers.house.gov/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate notes Russia as political enemy of the United States","","Conservative Republican",1,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NEGATIVE MENTION","NEGATIVE MENTION","POSITIVE MENTION","","Winner",""
"21","RICK","NEIGHBORS","AL",4,"Democrat","","","http://rickneighborsforcongress.com/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"22","LEE","AUMAN","AL",4,"Democrat","","","https://www.aumanforcongress.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","","Candidate provides no information","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NEUTRAL MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"23","ANTHONY","BLACKMON","AL",4,"Republican","","","http://www.anthonyblackmonforcongress.org/","Male","Yes, the candidate serves or served in the military","High School","Married","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"24","ROBERT","ADERHOLT","AL",4,"Republican","Candidate is an incumbent Member of Congress","","http://aderholtforcongress.org/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","Candidate mentions previous elected office experience","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",1,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"25","PETER","JOFFRION","AL",5,"Democrat","","","https://www.peterjoffrion.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"26","CLAYTON","HINCHMAN","AL",5,"Republican","","","http://www.hinchmanforcongress.com/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"27","MO","BROOKS","AL",5,"Republican","Candidate is an incumbent Member of Congress","","http://mobrooksforcongress.com/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Tea Party Republican",1,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"28","DANNER","KLINE","AL",6,"Democrat","","","https://www.votedannerkline.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"29","GARY","PALMER","AL",6,"Republican","Candidate is an incumbent Member of Congress","","http://palmerforalabama.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate supports the ""traditional family""","Candidate provides no information","Candidate provides no information","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Tea Party Republican",1,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"30","TERRI","SEWELL","AL",7,"Democrat","Candidate is an incumbent Member of Congress","","http://www.sewellforcongress.com/","Female","No, the candidate does not include any information about serving in the military","J.D.","No information","Candidate mentions previous elected office experience","Candidate explicitly supports ACA","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","Establishment Democrat","",1,1,1,0,"NEGATIVE MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"31","CHINTAN","DESAI","AR",1,"Democrat","","","https://www.desaiforcongress.com/","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NEUTRAL MENTION","NEUTRAL MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Winner",""
